timestamp,open,high,low,close,volume
2022-01-03 09:00:00,476.68,476.87,476.37,476.83,4563.0
2022-01-03 09:15:00,476.84,476.87,476.62,476.76,1555.0
2022-01-03 09:30:00,476.76,476.87,476.73,476.8,2156.0
2022-01-03 09:45:00,476.8,477.22,476.75,477.22,3279.0
2022-01-03 10:00:00,477.24,477.4,477.12,477.4,4094.0
2022-01-03 10:15:00,477.4,477.62,477.39,477.62,1708.0
2022-01-03 10:30:00,477.66,477.68,477.58,477.62,1344.0
2022-01-03 10:45:00,477.62,477.75,477.57,477.75,2308.0
2022-01-03 11:00:00,477.76,478.04,477.76,477.97,6257.0
2022-01-03 11:15:00,477.95,478.14,477.87,477.88,7951.0
2022-01-03 11:30:00,477.94,478.08,477.94,477.95,3212.0
2022-01-03 11:45:00,477.94,478.08,477.92,478.07,1134.0
2022-01-03 12:00:00,478.03,478.06,477.76,477.85,6424.0
2022-01-03 12:15:00,477.81,477.87,477.7,477.75,8438.0
2022-01-03 12:30:00,477.75,477.75,477.55,477.6,19858.0
2022-01-03 12:45:00,477.6,477.62,477.33,477.41,27255.0
2022-01-03 13:00:00,477.39,477.49,477.33,477.42,14035.0
2022-01-03 13:15:00,477.41,477.46,477.3,477.45,17371.0
2022-01-03 13:30:00,477.42,477.48,477.1,477.19,24900.0
2022-01-03 13:45:00,477.19,477.38,476.53,476.53,27954.0
2022-01-03 14:00:00,476.55,476.71,476.27,476.71,36906.0
2022-01-03 14:15:00,476.7,476.84,476.27,476.34,38303.0
2022-01-03 14:30:00,476.3,477.72,476.23,477.17,671204.0
2022-01-03 14:45:00,477.17,477.3,473.85,474.91,1083407.0
2022-01-03 15:00:00,474.94,476.18,474.77,476.06,483939.0
2022-01-03 15:15:00,476.08,476.75,475.57,476.75,363090.0
2022-01-03 15:30:00,476.75,476.78,475.61,475.9,277927.0
2022-01-03 15:45:00,475.89,476.36,475.75,476.17,213311.0
2022-01-03 16:00:00,476.16,476.25,475.195,475.28,246735.0
2022-01-03 16:15:00,475.29,475.65,475.06,475.53,227938.0
2022-01-03 16:30:00,475.54,475.56,474.45,475.36,264087.0
2022-01-03 16:45:00,475.33,475.83,475.07,475.35,222727.0
2022-01-03 17:00:00,475.34,475.63,475.03,475.58,153537.0
2022-01-03 17:15:00,475.57,475.99,475.42,475.93,163647.0
2022-01-03 17:30:00,475.935,475.95,475.48,475.65,116047.0
2022-01-03 17:45:00,475.665,475.94,475.54,475.6,142777.0
2022-01-03 18:00:00,475.6,476.13,475.35,475.9,170685.0
2022-01-03 18:15:00,475.92,476.185,475.84,476.07,123594.0
2022-01-03 18:30:00,476.09,476.41,475.87,476.38,137485.0
2022-01-03 18:45:00,476.39,476.77,476.195,476.74,243514.0
2022-01-03 19:00:00,476.73,477.07,476.6,476.88,306033.0
2022-01-03 19:15:00,476.88,477.03,476.7,476.92,196440.0
2022-01-03 19:30:00,476.92,477.67,476.76,477.58,230410.0
2022-01-03 19:45:00,477.58,477.68,477.15,477.23,178967.0
2022-01-03 20:00:00,477.22,477.48,477.01,477.38,219343.0
2022-01-03 20:15:00,477.385,477.53,477.24,477.39,189553.0
2022-01-03 20:30:00,477.39,477.745,476.65,476.95,487622.0
2022-01-03 20:45:00,476.96,477.84,476.865,477.76,1655559.0
2022-01-03 21:00:00,477.77,477.84,477.47,477.6,261285.0
2022-01-03 21:15:00,477.58,477.87,477.58,477.72,42863.0
2022-01-03 21:30:00,477.76,477.88,477.72,477.73,12046.0
2022-01-03 21:45:00,477.74,477.75,477.5,477.56,8852.0
2022-01-03 22:00:00,477.6,477.63,477.54,477.63,197.0
2022-01-03 22:15:00,477.63,477.63,477.61,477.63,2257.0
2022-01-03 22:45:00,477.6,477.68,477.58,477.6,545.0
2022-01-03 23:00:00,477.67,477.75,477.67,477.75,1743.0
2022-01-03 23:15:00,477.74,477.74,477.67,477.67,90.0
2022-01-03 23:30:00,477.56,477.56,477.43,477.53,2518.0
2022-01-03 23:45:00,477.53,477.55,477.4,477.4,295.0
2022-01-04 09:00:00,478.41,478.65,478.41,478.63,1850.0
2022-01-04 09:15:00,478.58,478.71,478.57,478.59,1847.0
2022-01-04 09:30:00,478.57,478.64,478.47,478.63,2501.0
2022-01-04 09:45:00,478.64,478.74,478.62,478.68,1725.0
2022-01-04 10:00:00,478.85,479.34,478.81,479.19,2015.0
2022-01-04 10:15:00,479.2,479.52,479.16,479.47,2170.0
2022-01-04 10:30:00,479.58,479.58,479.45,479.56,2065.0
2022-01-04 10:45:00,479.64,479.64,479.38,479.54,2100.0
2022-01-04 11:00:00,479.47,479.81,479.38,479.73,1727.0
2022-01-04 11:15:00,479.75,479.83,479.53,479.58,1660.0
2022-01-04 11:30:00,479.61,479.66,479.45,479.5,1788.0
2022-01-04 11:45:00,479.52,479.63,479.46,479.46,1158.0
2022-01-04 12:00:00,479.4,479.45,479.26,479.26,8896.0
2022-01-04 12:15:00,479.26,479.33,478.66,478.74,5421.0
2022-01-04 12:30:00,478.74,479.05,478.73,478.93,12375.0
2022-01-04 12:45:00,479.01,479.08,478.78,479.06,11668.0
2022-01-04 13:00:00,479.02,479.21,478.93,479.2,7750.0
2022-01-04 13:15:00,479.23,479.57,479.12,479.45,29485.0
2022-01-04 13:30:00,479.42,479.48,479.12,479.3,11767.0
2022-01-04 13:45:00,479.29,479.38,479.14,479.35,17664.0
2022-01-04 14:00:00,479.35,479.49,479.08,479.4,18681.0
2022-01-04 14:15:00,479.4,479.44,479.17,479.17,29371.0
2022-01-04 14:30:00,479.22,479.98,479.06,479.69,650600.0
2022-01-04 14:45:00,479.7,479.9,479.23,479.67,354981.0
2022-01-04 15:00:00,479.68,479.71,478.98,479.16,330792.0
2022-01-04 15:15:00,479.17,479.59,478.71,479.58,215890.0
2022-01-04 15:30:00,479.58,479.75,478.25,478.4,292978.0
2022-01-04 15:45:00,478.41,478.72,477.52,477.62,400703.0
2022-01-04 16:00:00,477.63,477.66,476.49,477.16,422134.0
2022-01-04 16:15:00,477.15,477.19,476.43,476.96,267983.0
2022-01-04 16:30:00,476.95,477.57,476.83,477.55,215977.0
2022-01-04 16:45:00,477.55,477.99,477.4,477.49,187889.0
2022-01-04 17:00:00,477.47,477.7,477.11,477.69,148589.0
2022-01-04 17:15:00,477.68,477.95,477.52,477.54,128202.0
2022-01-04 17:30:00,477.53,477.61,477.24,477.29,118303.0
2022-01-04 17:45:00,477.29,477.52,476.71,476.8,166351.0
2022-01-04 18:00:00,476.81,477.32,476.62,476.93,101074.0
2022-01-04 18:15:00,476.93,477.13,476.6,476.78,108622.0
2022-01-04 18:30:00,476.79,476.83,476.03,476.38,177730.0
2022-01-04 18:45:00,476.37,476.52,475.59,475.72,139612.0
2022-01-04 19:00:00,475.72,476.44,475.69,476.43,361634.0
2022-01-04 19:15:00,476.44,476.66,476.32,476.54,216997.0
2022-01-04 19:30:00,476.54,477.32,476.5,477.3,226431.0
2022-01-04 19:45:00,477.29,477.56,477.18,477.42,243346.0
2022-01-04 20:00:00,477.42,477.955,477.38,477.88,236781.0
2022-01-04 20:15:00,477.88,478.32,477.72,478.25,339576.0
2022-01-04 20:30:00,478.25,478.48,477.91,478.39,491523.0
2022-01-04 20:45:00,478.385,478.96,477.45,477.5,1338562.0
2022-01-04 21:00:00,477.52,477.65,477.26,477.34,229055.0
2022-01-04 21:15:00,477.37,477.58,477.25,477.42,32291.0
2022-01-04 21:30:00,477.42,477.48,477.28,477.48,6196.0
2022-01-04 21:45:00,477.4,477.47,477.35,477.47,4301.0
2022-01-04 22:00:00,477.35,477.54,477.35,477.4,11032.0
2022-01-04 22:15:00,477.37,477.53,477.36,477.42,5033.0
2022-01-04 22:30:00,477.4,477.4,477.35,477.39,2100.0
2022-01-04 22:45:00,477.39,477.39,477.39,477.39,767.0
2022-01-04 23:00:00,477.38,477.54,477.35,477.35,15607.0
2022-01-04 23:15:00,477.25,477.25,476.95,477.22,30534.0
2022-01-04 23:30:00,477.0,477.05,477.0,477.01,1015.0
2022-01-04 23:45:00,477.04,477.05,476.9,477.04,6531.0
2022-01-05 09:00:00,477.02,477.48,476.92,477.48,2410.0
2022-01-05 09:15:00,477.48,477.74,477.48,477.55,2860.0
2022-01-05 09:30:00,477.5,477.56,477.37,477.49,2860.0
2022-01-05 09:45:00,477.44,477.59,477.39,477.54,1165.0
2022-01-05 10:00:00,477.6,477.94,477.52,477.62,4329.0
2022-01-05 10:15:00,477.65,477.67,477.55,477.66,1458.0
2022-01-05 10:30:00,477.86,477.92,477.35,477.35,3009.0
2022-01-05 10:45:00,477.35,477.52,477.3,477.4,1254.0
2022-01-05 11:00:00,477.31,477.37,477.05,477.35,1262.0
2022-01-05 11:15:00,477.36,477.36,476.99,477.06,5749.0
2022-01-05 11:30:00,477.1,477.18,477.0,477.14,2376.0
2022-01-05 11:45:00,477.22,477.33,477.17,477.22,3406.0
2022-01-05 12:00:00,477.28,477.46,477.13,477.46,5767.0
2022-01-05 12:15:00,477.46,477.46,477.17,477.43,2825.0
2022-01-05 12:30:00,477.45,477.45,477.09,477.09,3855.0
2022-01-05 12:45:00,477.1,477.1,476.85,477.05,4272.0
2022-01-05 13:00:00,477.09,477.25,476.85,476.89,9076.0
2022-01-05 13:15:00,476.89,477.35,476.74,477.23,11306.0
2022-01-05 13:30:00,477.29,477.36,477.12,477.25,49193.0
2022-01-05 13:45:00,477.25,477.52,476.99,477.39,32193.0
2022-01-05 14:00:00,477.41,477.49,477.01,477.4,17993.0
2022-01-05 14:15:00,477.38,477.49,477.1,477.25,12556.0
2022-01-05 14:30:00,477.17,477.65,476.14,476.83,762201.0
2022-01-05 14:45:00,476.85,477.44,476.35,477.21,406519.0
2022-01-05 15:00:00,477.22,477.44,476.75,476.94,250326.0
2022-01-05 15:15:00,477.01,477.98,476.93,477.73,335261.0
2022-01-05 15:30:00,477.7,477.73,476.99,477.27,210322.0
2022-01-05 15:45:00,477.27,477.35,476.93,477.29,155071.0
2022-01-05 16:00:00,477.3,477.395,476.48,476.91,196905.0
2022-01-05 16:15:00,476.93,477.24,476.845,477.24,185069.0
2022-01-05 16:30:00,477.23,477.28,476.33,476.42,247617.0
2022-01-05 16:45:00,476.42,476.655,476.3,476.56,164276.0
2022-01-05 17:00:00,476.55,476.93,476.37,476.93,131901.0
2022-01-05 17:15:00,476.92,477.25,476.82,477.15,228374.0
2022-01-05 17:30:00,477.135,477.17,476.08,476.19,311619.0
2022-01-05 17:45:00,476.21,476.26,475.875,475.95,209899.0
2022-01-05 18:00:00,475.955,476.04,475.31,475.565,241147.0
2022-01-05 18:15:00,475.555,476.03,475.55,475.86,208355.0
2022-01-05 18:30:00,475.86,476.13,475.7,475.89,170135.0
2022-01-05 18:45:00,475.88,476.02,475.59,475.85,193384.0
2022-01-05 19:00:00,475.84,476.91,473.55,473.91,1060988.0
2022-01-05 19:15:00,473.9,474.36,473.23,473.41,611575.0
2022-01-05 19:30:00,473.42,473.86,471.31,471.38,615872.0
2022-01-05 19:45:00,471.37,472.235,471.12,471.7,564491.0
2022-01-05 20:00:00,471.7,471.7,469.95,470.85,769658.0
2022-01-05 20:15:00,470.85,470.92,470.17,470.29,776162.0
2022-01-05 20:30:00,470.29,471.19,469.98,470.31,1106827.0
2022-01-05 20:45:00,470.32,470.35,468.285,468.38,2183111.0
2022-01-05 21:00:00,468.39,469.09,468.12,469.03,521132.0
2022-01-05 21:15:00,469.02,469.04,468.68,468.68,55843.0
2022-01-05 21:30:00,468.68,468.73,468.51,468.51,36759.0
2022-01-05 21:45:00,468.55,468.65,468.22,468.4,43655.0
2022-01-05 22:00:00,468.34,468.47,468.29,468.33,11820.0
2022-01-05 22:15:00,468.33,468.43,468.33,468.35,3581.0
2022-01-05 22:30:00,468.36,468.38,468.32,468.32,1994.0
2022-01-05 22:45:00,468.32,468.48,468.32,468.45,5821.0
2022-01-05 23:00:00,468.4,468.6,467.5,467.78,18688.0
2022-01-05 23:15:00,467.88,468.7,467.88,468.7,14152.0
2022-01-05 23:30:00,468.74,468.89,468.5,468.79,7935.0
2022-01-05 23:45:00,468.82,469.04,468.65,469.0,4945.0
2022-01-06 09:00:00,468.46,468.46,467.71,468.06,4949.0
2022-01-06 09:15:00,468.09,468.49,468.09,468.2,2868.0
2022-01-06 09:30:00,468.0,468.1,467.71,467.82,2271.0
2022-01-06 09:45:00,467.91,468.2,467.6,468.2,3605.0
2022-01-06 10:00:00,468.29,468.71,468.09,468.71,2833.0
2022-01-06 10:15:00,468.66,469.02,468.48,468.84,5024.0
2022-01-06 10:30:00,468.95,469.42,468.55,468.79,11034.0
