timestamp,open,high,low,close,volume
2022-01-03 09:00:00,178.32,178.37,177.76,178.09,5566.0
2022-01-03 09:15:00,178.1,178.14,177.8,177.89,6036.0
2022-01-03 09:30:00,177.87,177.89,177.73,177.89,4840.0
2022-01-03 09:45:00,177.86,178.1,177.85,178.08,3441.0
2022-01-03 10:00:00,178.08,178.16,177.91,178.09,6158.0
2022-01-03 10:15:00,178.09,178.24,178.09,178.18,1520.0
2022-01-03 10:30:00,178.13,178.22,178.07,178.18,2484.0
2022-01-03 10:45:00,178.18,178.19,178.12,178.16,2317.0
2022-01-03 11:00:00,178.17,178.43,178.17,178.33,9066.0
2022-01-03 11:15:00,178.3,178.45,178.3,178.4,3599.0
2022-01-03 11:30:00,178.4,178.44,178.23,178.23,3974.0
2022-01-03 11:45:00,178.28,178.46,178.26,178.45,1918.0
2022-01-03 12:00:00,178.42,178.47,178.22,178.32,6634.0
2022-01-03 12:15:00,178.32,178.32,178.15,178.21,2751.0
2022-01-03 12:30:00,178.21,178.3,178.1,178.29,1330.0
2022-01-03 12:45:00,178.22,178.27,178.2,178.25,807.0
2022-01-03 13:00:00,178.22,178.43,178.22,178.35,1529.0
2022-01-03 13:15:00,178.35,178.45,178.3,178.35,6405.0
2022-01-03 13:30:00,178.34,178.35,178.11,178.13,6892.0
2022-01-03 13:45:00,178.13,178.25,177.61,177.68,13563.0
2022-01-03 14:00:00,177.64,177.83,177.51,177.76,12116.0
2022-01-03 14:15:00,177.73,177.93,177.58,177.89,20161.0
2022-01-03 14:30:00,177.87,180.84,177.72,180.6,2062701.0
2022-01-03 14:45:00,180.6,180.93,179.42,180.5,884737.0
2022-01-03 15:00:00,180.46,181.42,180.28,181.23,918964.0
2022-01-03 15:15:00,181.23,181.25,180.5,180.84,566103.0
2022-01-03 15:30:00,180.85,181.2,180.58,180.78,400826.0
2022-01-03 15:45:00,180.77,181.23,180.76,180.96,299557.0
2022-01-03 16:00:00,180.95,180.99,180.39,180.82,336313.0
2022-01-03 16:15:00,180.82,181.77,180.71,181.75,556403.0
2022-01-03 16:30:00,181.76,181.77,181.145,181.49,342747.0
2022-01-03 16:45:00,181.485,181.76,181.355,181.48,296629.0
2022-01-03 17:00:00,181.47,181.51,181.08,181.29,260845.0
2022-01-03 17:15:00,181.29,181.69,181.29,181.6,216401.0
2022-01-03 17:30:00,181.595,182.16,181.49,182.025,512507.0
2022-01-03 17:45:00,182.03,182.1,181.65,181.69,233607.0
2022-01-03 18:00:00,181.7,182.1,181.64,182.01,232000.0
2022-01-03 18:15:00,182.02,182.27,181.96,182.22,205401.0
2022-01-03 18:30:00,182.225,182.86,182.22,182.83,460230.0
2022-01-03 18:45:00,182.84,182.88,182.305,182.37,364643.0
2022-01-03 19:00:00,182.37,182.46,182.015,182.11,300634.0
2022-01-03 19:15:00,182.12,182.31,181.81,181.87,254047.0
2022-01-03 19:30:00,181.87,182.29,181.67,182.19,274146.0
2022-01-03 19:45:00,182.2,182.25,181.875,181.875,200005.0
2022-01-03 20:00:00,181.87,182.19,181.71,182.13,232633.0
2022-01-03 20:15:00,182.13,182.145,181.88,182.14,243419.0
2022-01-03 20:30:00,182.14,182.15,181.36,181.52,546993.0
2022-01-03 20:45:00,181.515,182.01,181.195,182.0,1907010.0
2022-01-03 21:00:00,182.0,182.23,181.7,182.22,6971203.0
